Date : 2023-05-02 11:02:26
Directory : c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz
Total : 124 files,  6897 codes, 56 comments, 1244 blanks, all 8197 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| GDResource |         92 |      5,365 |          7 |        953 |      6,325 |
| C#         |         25 |      1,377 |         45 |        254 |      1,676 |
| Markdown   |          2 |         82 |          0 |         18 |        100 |
| GDScript   |          3 |         66 |          4 |         18 |         88 |
| XML        |          2 |          7 |          0 |          1 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        124 |      6,897 |         56 |      1,244 |      8,197 |
| . (Files)                                                                                                                                |          6 |        170 |          7 |         45 |        222 |
| font                                                                                                                                     |          1 |         28 |          0 |          6 |         34 |
| images                                                                                                                                   |         55 |      1,595 |          0 |        330 |      1,925 |
| levels                                                                                                                                   |          1 |        826 |          0 |        215 |      1,041 |
| resources                                                                                                                                |          7 |      1,301 |          0 |         60 |      1,361 |
| scenes                                                                                                                                   |         21 |      1,420 |          0 |        278 |      1,698 |
| scripts                                                                                                                                  |         25 |      1,377 |         45 |        254 |      1,676 |
| sounds                                                                                                                                   |          1 |         14 |          0 |          6 |         20 |
| tests                                                                                                                                    |          7 |        166 |          4 |         50 |        220 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\assets_source.md                                               | Markdown   |         79 |          0 |         17 |         96 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\font\at01.ttf.import                                           | GDResource |         28 |          0 |          6 |         34 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\icon.svg                                                       | XML        |          1 |          0 |          1 |          2 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\icon.svg.import                                                | GDResource |         32 |          0 |          6 |         38 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Blocks (16 x 16).png.import                             | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Bub_Hurt (16 x 16).png.import                           | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Bub_Idle (16 x 16).png.import                           | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Bub_Running (16 x 16).png.import                        | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Bub_Squished (16 x 16).png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Cloud_Poof (16 x 16).png.import                         | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Coin (16 x 16).png.import                               | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Devo_Falling (16 x 16).png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Devo_Hurt (16 x 16).png.import                          | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Devo_Jumping (16 x 16).png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Devo_Running (16 x 16).png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Devo_Standing (16 x 16).png.import                      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Dust (16 x 16).png.import                               | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Flowers (16 x 16).png.import                            | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_1 - Foreground_scenery.png.import             | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_2 - Hills.png.import                          | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_3 - Cloud_cover_1.png.import                  | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_4 - Cloud_cover_2.png.import                  | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_5 - Sky_color.png.import                      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_Extra_plants (16 x 16).png.import             | GDResource |         29 |          0 |          6 |         35 |
